City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Bhikangaon,IN,88.68,broken clouds,21.8667,75.95,Vaishno Devi Mandir shakuntala niwas
231,Voh,NC,75.96,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
232,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
236,Palmer,US,75.2,few clouds,42.1584,-72.3287,Wedgewood Motel
240,Port Moresby,PG,75.2,broken clouds,-9.4431,147.1797,Lamana Hotel
244,Natal,BR,82.4,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
249,Geraldton,AU,77.0,light rain,-28.7667,114.6,Broadwater Mariner Resort
253,Samana,DO,80.6,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
255,Dawei,MM,76.03,scattered clouds,14.0833,98.2,Hotel Dawei
262,Canutama,BR,80.74,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
263,Namibe,AO,78.55,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
264,Daru,PG,76.41,broken clouds,-9.0763,143.2092,Daru Lodge
272,Ojinaga,MX,84.0,clear sky,29.5667,-104.4167,Suites Las Palmas
280,Bucerias,MX,78.8,scattered clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
282,Port Blair,IN,78.8,mist,11.6667,92.75,Welcomhotel Bay Island Port Blair
283,Cabedelo,BR,77.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
284,Pindiga,NG,89.35,overcast clouds,9.9833,10.9333,Accommodation Center
285,Isangel,VU,78.85,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
286,Umm Bab,QA,77.0,clear sky,25.2142,50.8072,mike beach
297,Harper,LR,80.37,overcast clouds,4.375,-7.7169,Screensaver
300,Sawakin,SD,75.85,clear sky,19.1059,37.3321,فندق الدويم
301,Namatanai,PG,79.5,light rain,-3.6667,152.4333,Namatanai Hotel
302,Eyl,SO,79.02,clear sky,7.9803,49.8164,Amiin Hotel
304,Roma,US,78.8,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
307,Omboue,GA,79.12,overcast clouds,-1.5746,9.2618,Hotel Olako
308,Estelle,US,77.0,broken clouds,29.8458,-90.1067,Ohio
313,Ranong,TH,77.79,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
317,La Palma,US,75.2,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
318,Camacari,BR,80.6,broken clouds,-12.6975,-38.3242,Hotel Cambuci
320,Bajil,YE,84.58,scattered clouds,15.0584,43.2851,فندق حضرموت
325,Kavaratti,IN,82.15,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
332,Kerema,PG,76.19,overcast clouds,-7.9631,145.7785,Frena Lodge
333,Buala,SB,80.64,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
334,Garissa,KE,81.36,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
335,Buraydah,SA,77.0,few clouds,26.326,43.975,فندق راحة السلام
338,Diu,IN,78.37,clear sky,20.7141,70.9822,Hotel Relax Inn
340,Benguela,AO,81.5,broken clouds,-12.5763,13.4055,Hotel Praia Morena
342,Ico,BR,83.23,overcast clouds,-6.4011,-38.8622,Pousada Emanuella
343,Marsh Harbour,BS,76.23,clear sky,26.5412,-77.0636,Abaco Beach Resort
345,Acarau,BR,81.19,broken clouds,-2.8856,-40.12,castelo pizzaria
348,Bobo Dioulasso,BF,87.8,clear sky,11.1771,-4.2979,RAN Hotel Somketa
350,Basco,PH,76.42,broken clouds,20.4487,121.9702,Nathaniel's Lodge
351,Polonnaruwa,LK,75.83,overcast clouds,7.9333,81.0,Thisara Guest House
352,Tual,ID,83.17,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
363,Mitsamiouli,KM,81.54,light rain,-11.3847,43.2844,Foyer ADM
373,Miguel Hidalgo,MX,82.4,few clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
374,Monte Alegre,BR,83.84,moderate rain,-2.0078,-54.0692,Hotel Shekinah
375,Poum,NC,78.85,overcast clouds,-20.2333,164.0167,Gîte kajeon
385,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
390,Gouyave,GD,86.0,broken clouds,12.1646,-61.7296,Rumboat Retreat
391,Acapulco,MX,86.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
393,Quatre Cocos,MU,80.01,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
394,Coahuayana,MX,87.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
395,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
399,Paragominas,BR,76.44,light rain,-2.9667,-47.4833,.
402,Bubaque,GW,77.52,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
403,Samarai,PG,80.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
405,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
407,Sorong,ID,78.31,overcast clouds,-0.8833,131.25,waigo splash hotel
410,Obala,CM,75.2,light rain,4.1667,11.5333,The yafe
411,Skeldon,GY,79.99,overcast clouds,5.8833,-57.1333,Rits Hotel
416,Phangnga,TH,82.0,few clouds,8.4509,98.5298,Rattanapong Hotel
417,Souillac,MU,78.8,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
422,Qui Nhon,VN,75.58,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
423,Manjeshwar,IN,78.8,few clouds,12.7194,74.8861,Baithul Hidaya
425,Issia,CI,78.49,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
431,Kahului,US,75.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
