City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Diego De Almagro,CL,2021-04-07 23:18:05,-26.3667,-70.05,67.89,49,94,4.16
172,Yashkul,RU,2021-04-07 23:20:27,46.1711,45.3435,46.76,61,40,8.41
173,Nuuk,GL,2021-04-07 23:18:07,64.1835,-51.7216,37.4,44,75,7.31
174,Maputo,MZ,2021-04-07 23:20:27,-25.9653,32.5892,73.0,94,40,4.61
175,Iqaluit,CA,2021-04-07 23:20:28,63.7506,-68.5145,33.8,93,90,40.29
176,Yangmei,CN,2021-04-07 23:20:28,24.1023,112.5618,58.53,89,100,5.23
177,Bonnyville,CA,2021-04-07 23:20:29,54.2668,-110.735,60.8,20,90,10.36
178,Stornoway,GB,2021-04-07 23:20:29,58.2093,-6.3865,39.99,87,75,23.02
179,Coahuayana,MX,2021-04-07 23:20:29,18.7333,-103.6833,84.2,34,1,7.05
180,Mount Isa,AU,2021-04-07 23:16:17,-20.7333,139.5,84.2,32,57,5.75
181,Bukama,CD,2021-04-07 23:20:30,-9.2,25.85,69.22,99,100,2.39
182,Shuangyang,CN,2021-04-07 23:20:30,43.5242,125.6736,37.99,25,0,4.47
183,Oranjemund,NA,2021-04-07 23:20:31,-28.55,16.4333,58.51,94,3,3.6
184,Qaqortoq,GL,2021-04-07 23:20:31,60.7167,-46.0333,37.4,65,75,2.3
185,Van Buren,US,2021-04-07 23:20:31,35.4368,-94.3483,69.8,35,1,26.46
186,Agapovka,RU,2021-04-07 23:20:32,53.2973,59.1348,32.0,100,90,4.47
187,Rovaniemi,FI,2021-04-07 23:18:39,66.5,25.7167,26.6,80,20,4.61
188,Viru,PE,2021-04-07 23:20:32,-8.4167,-78.75,69.8,88,20,11.5
189,Adzhamka,UA,2021-04-07 23:20:32,48.5424,32.5354,34.09,80,51,10.85
190,Itarema,BR,2021-04-07 23:16:21,-2.9248,-39.9167,80.69,79,100,14.47
191,Takanabe,JP,2021-04-07 23:20:33,32.1333,131.5,57.2,72,75,6.91
192,Walvis Bay,NA,2021-04-07 23:18:10,-22.9575,14.5053,55.4,94,0,10.36
193,Luderitz,NA,2021-04-07 23:16:43,-26.6481,15.1594,68.11,58,1,10.02
194,Micheweni,TZ,2021-04-07 23:20:34,-4.9667,39.8333,78.85,84,88,8.34
195,Coffs Harbour,AU,2021-04-07 23:20:34,-30.3,153.1333,66.2,94,90,14.97
196,Geraldton,AU,2021-04-07 23:16:12,-28.7667,114.6,69.8,83,90,14.97
197,Zhigansk,RU,2021-04-07 23:16:59,66.7697,123.3711,8.24,91,100,20.92
198,Yamada,JP,2021-04-07 23:20:35,39.4667,141.95,45.61,45,1,2.35
199,Namibe,AO,2021-04-07 23:20:35,-15.1961,12.1522,78.96,82,79,5.77
200,Huejuquilla El Alto,MX,2021-04-07 23:20:36,22.6,-103.8667,85.84,9,13,7.58
201,Haines Junction,CA,2021-04-07 23:20:36,60.7522,-137.5108,23.0,20,54,5.75
202,Dyurtyuli,RU,2021-04-07 23:20:36,55.4911,54.8688,33.57,98,100,4.56
203,Qaanaaq,GL,2021-04-07 23:20:37,77.484,-69.3632,-0.42,67,85,7.29
204,Novobirilyussy,RU,2021-04-07 23:20:37,56.9514,90.6661,30.87,97,100,7.38
205,Hit,IQ,2021-04-07 23:18:12,33.6416,42.8251,73.69,24,66,5.26
206,Norman Wells,CA,2021-04-07 23:20:38,65.282,-126.8329,10.4,52,40,11.5
207,Airai,TL,2021-04-07 23:20:38,-8.9266,125.4092,64.13,84,50,1.3
208,Vardo,NO,2021-04-07 23:16:18,70.3705,31.1107,24.8,74,0,8.95
209,Tezu,IN,2021-04-07 23:20:39,27.9167,96.1667,70.86,36,57,3.76
210,Santa Rosa,PH,2021-04-07 23:16:27,14.3122,121.1114,82.0,74,40,5.75
211,Ancud,CL,2021-04-07 23:20:39,-41.8697,-73.8203,57.0,76,0,8.05
212,Luena,AO,2021-04-07 23:20:39,-11.7833,19.9167,61.63,94,93,1.03
213,Ponta Do Sol,PT,2021-04-07 23:20:40,32.6667,-17.1,61.0,77,98,1.01
214,Key Largo,US,2021-04-07 23:20:40,25.0865,-80.4473,73.0,52,20,7.0
215,Sitka,US,2021-04-07 23:20:41,57.0531,-135.33,39.2,60,40,11.5
216,Leona Vicario,MX,2021-04-07 23:20:41,20.9667,-87.1917,80.6,69,75,11.5
