City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Bilibino,RU,68.0546,166.4372,-3.06,73,98,3.29,overcast clouds
212,Rosario Oeste,BR,-14.8361,-56.4275,83.03,74,31,1.25,scattered clouds
213,Avera,US,33.194,-82.5271,73.4,89,90,9.22,light rain
214,Oyama,JP,36.3,139.8,50.0,87,20,3.44,few clouds
215,Newport,GB,51.5877,-2.9984,41.0,78,77,16.04,broken clouds
216,Borova,UA,50.1763,30.1043,46.4,42,0,4.47,clear sky
217,Bengkulu,ID,-3.8004,102.2655,75.09,89,88,4.43,overcast clouds
218,Sola,VU,-13.8833,167.55,80.28,72,99,2.66,overcast clouds
219,Mabaruma,GY,8.2,-59.7833,79.32,81,100,5.3,overcast clouds
220,Vostok,RU,46.4856,135.8833,28.69,65,54,5.64,broken clouds
221,Sagarejo,GE,41.734,45.3315,55.4,88,75,21.85,broken clouds
222,La Malbaie,CA,47.6575,-70.1559,46.4,53,100,14.97,overcast clouds
223,San Patricio,US,28.017,-97.5169,88.0,51,20,11.5,few clouds
224,Zheleznodorozhnyy,RU,55.7503,38.0042,41.0,52,0,4.47,clear sky
225,Aripuana,BR,-9.1667,-60.6333,77.5,95,90,2.3,overcast clouds
226,Ikalamavony,MG,-21.15,46.5833,66.2,84,99,4.99,overcast clouds
227,Lodja,CD,-3.4833,23.4333,71.53,89,100,2.77,overcast clouds
228,San Juan,AR,-31.5375,-68.5364,54.73,74,100,19.98,overcast clouds
229,Bhikangaon,IN,21.8667,75.95,88.68,16,74,5.88,broken clouds
230,Simao,CN,22.7886,100.9748,63.09,67,47,2.59,scattered clouds
231,Voh,NC,-20.9667,164.7,75.96,92,100,5.32,overcast clouds
232,Padang,ID,-0.9492,100.3543,77.0,94,75,2.3,broken clouds
233,Victor Harbor,AU,-35.5667,138.6167,59.0,58,100,1.99,overcast clouds
234,Pisco,PE,-13.7,-76.2167,73.4,64,0,6.91,clear sky
235,Maxixe,MZ,-23.8597,35.3472,71.42,86,1,5.21,clear sky
236,Palmer,US,42.1584,-72.3287,75.2,43,20,13.8,few clouds
237,Warmbad,NA,-28.45,18.7333,82.56,22,0,8.34,clear sky
238,Mount Gambier,AU,-37.8333,140.7667,50.0,76,75,14.97,broken clouds
239,Dongying,CN,37.4564,118.4856,52.36,62,99,10.71,overcast clouds
240,Port Moresby,PG,-9.4431,147.1797,75.2,94,75,4.03,broken clouds
241,Tezu,IN,27.9167,96.1667,66.25,87,84,6.29,moderate rain
242,Vitim,RU,59.4511,112.5578,-7.22,99,91,3.24,overcast clouds
243,Barranca,PE,-10.75,-77.7667,71.71,78,58,7.4,broken clouds
244,Natal,BR,-5.795,-35.2094,82.4,88,40,10.36,scattered clouds
245,Lakes Entrance,AU,-37.8811,147.981,46.0,81,49,1.01,scattered clouds
246,Ovsyanka,RU,55.9575,92.5519,21.2,68,0,1.77,clear sky
247,Okhotsk,RU,59.3833,143.3,22.77,80,100,20.4,overcast clouds
248,Leningradskiy,RU,69.3833,178.4167,-8.52,96,100,0.29,overcast clouds
249,Geraldton,AU,-28.7667,114.6,77.0,47,90,21.85,light rain
250,Talaya,RU,61.3833,152.75,-8.1,98,100,3.67,overcast clouds
251,Guerrero Negro,MX,27.9769,-114.0611,67.21,58,100,17.2,overcast clouds
252,Port Hardy,CA,50.6996,-127.4199,44.6,61,40,8.05,scattered clouds
253,Samana,DO,19.2056,-69.3369,80.6,69,20,6.91,few clouds
254,Visby,SE,57.6409,18.296,39.0,87,94,10.36,overcast clouds
255,Dawei,MM,14.0833,98.2,76.03,88,42,3.22,scattered clouds
256,Goundam,ML,16.4145,-3.6708,91.29,7,0,9.46,clear sky
257,Huarmey,PE,-10.0681,-78.1522,72.68,80,64,7.29,broken clouds
258,Berga,NO,60.392,5.328,33.8,86,75,2.3,light snow
259,Shadrinsk,RU,56.0852,63.6335,33.8,94,50,10.78,scattered clouds
260,Rocha,UY,-34.4833,-54.3333,66.99,98,100,6.42,moderate rain
261,Verkhnevilyuysk,RU,63.4453,120.3167,6.96,93,100,8.01,overcast clouds
262,Canutama,BR,-6.5339,-64.3831,80.74,87,93,2.59,overcast clouds
263,Namibe,AO,-15.1961,12.1522,78.55,76,17,10.78,light rain
264,Daru,PG,-9.0763,143.2092,76.41,85,60,1.52,broken clouds
265,Arman,RU,59.7,150.1667,9.61,71,64,11.41,broken clouds
266,Chuy,UY,-33.6971,-53.4616,67.3,93,100,13.91,moderate rain
